,room_type,price,host_acceptance_rate,host_is_superhost,accommodates,bathrooms,review_scores_cleanliness,host_identity_verified,instant_bookable,property_type
3925,1,150.0,96.0,0,2,2.5,4.62,1,1,71
6025,1,163.0,100.0,1,2,1.0,4.7,1,0,68
6034,1,199.0,100.0,1,3,1.0,4.71,1,0,68
6036,1,150.0,100.0,1,2,1.0,4.81,1,0,68
6038,1,199.0,100.0,1,3,1.0,4.66,1,0,68
6040,1,199.0,100.0,1,3,1.0,4.73,1,0,68
6041,1,150.0,100.0,1,3,1.0,4.64,1,0,68
6055,1,163.0,100.0,1,2,1.0,4.77,1,0,68
6056,1,163.0,100.0,1,2,1.0,4.81,1,0,68
6057,1,163.0,100.0,1,2,1.0,4.84,1,0,68
6058,1,163.0,100.0,1,2,1.0,4.75,1,0,68
6059,1,253.0,100.0,1,2,1.0,4.79,1,0,68
6060,1,163.0,100.0,1,2,1.0,4.86,1,0,68
6062,1,150.0,100.0,1,3,1.0,4.67,1,0,70
6111,1,106.0,100.0,1,2,1.0,4.61,1,0,72
6523,1,150.0,100.0,1,4,1.0,4.75,1,0,68
7291,1,150.0,100.0,1,3,1.0,4.86,1,0,68
8047,1,168.0,100.0,0,2,1.0,4.86,1,1,69
8346,1,55.0,96.0,0,2,1.0,4.43,1,1,71
8348,1,150.0,96.0,0,1,2.0,4.13,1,1,71
8366,1,972.0,100.0,0,4,1.5,4.8,1,1,70
8392,1,625.0,100.0,0,4,1.0,5.0,1,1,70
8435,1,150.0,97.0,0,2,1.5,4.29,1,1,70
8439,1,148.0,100.0,1,4,1.0,4.55,1,1,72
8481,1,163.0,100.0,1,2,1.0,5.0,1,0,68
8894,1,148.0,100.0,1,4,1.0,4.7,1,1,72
8895,1,75.0,100.0,1,2,1.0,4.66,1,1,72
11894,1,150.0,97.0,0,2,1.5,5.0,1,0,70
11897,1,150.0,97.0,0,2,1.0,5.0,1,0,70
12619,1,150.0,86.0,0,2,1.0,4.48,1,0,72
12738,1,150.0,97.0,0,6,4.5,4.8,1,0,73
12764,1,150.0,86.0,0,2,1.5,4.41,1,0,72
12873,1,90.0,97.0,0,2,1.0,4.65,1,1,70
15852,1,198.0,97.0,0,4,1.0,4.69,1,1,72
15853,1,150.0,97.0,0,16,1.0,5.0,1,1,72
15854,1,150.0,97.0,0,12,1.0,4.89,1,1,72
17906,1,145.0,96.0,0,2,1.0,4.78,1,1,72
18086,1,191.0,97.0,0,2,1.0,4.83,1,1,72
18776,1,150.0,96.0,0,16,1.0,5.0,1,1,72
