,room_type,price,host_acceptance_rate,host_is_superhost,accommodates,bathrooms,review_scores_cleanliness,host_identity_verified,instant_bookable,property_type
1,2,87.0,100.0,1,1,1.0,4.93,1,1,57
2,2,139.0,67.0,0,1,1.0,4.58,1,0,57
5,2,92.0,100.0,1,1,1.0,4.9,1,1,57
7,2,100.0,100.0,0,2,1.0,4.82,1,0,57
8,2,150.0,97.0,0,2,1.0,4.7,1,1,53
9,2,90.0,97.0,0,1,1.0,4.48,1,0,57
12,2,57.0,76.0,0,2,1.0,4.6,1,0,50
13,2,170.0,86.0,1,1,1.0,4.91,1,0,33
17,2,59.0,100.0,0,2,1.5,3.73,0,0,57
18,2,46.0,80.0,0,2,11.0,4.3,1,0,70
26,2,65.0,100.0,1,1,2.0,4.64,1,0,50
27,2,80.0,98.0,1,1,1.0,4.9,1,0,50
28,2,51.0,97.0,0,1,1.5,3.63,1,0,50
29,2,150.0,87.0,0,2,1.5,4.37,1,0,72
30,2,65.0,97.0,0,2,1.0,4.71,1,0,50
35,2,150.0,97.0,0,2,2.0,5.0,0,0,50
49,2,124.0,100.0,0,2,1.0,4.48,1,1,70
50,2,100.0,17.0,0,2,1.0,4.69,1,0,50
54,2,180.0,98.0,1,3,1.0,4.91,1,0,50
58,2,79.0,55.0,1,3,1.0,4.73,1,0,50
59,2,48.0,80.0,0,2,11.0,4.26,1,0,70
64,2,84.0,99.0,1,4,1.0,4.66,0,0,50
65,2,47.0,67.0,0,2,1.5,4.69,1,0,50
67,2,65.0,78.0,0,2,1.0,4.91,1,0,62
74,2,75.0,91.0,1,2,1.5,4.64,1,0,62
78,2,75.0,87.0,0,2,1.0,4.4,1,0,72
81,2,150.0,97.0,0,1,1.0,4.76,1,0,50
86,2,129.0,97.0,0,2,1.0,4.92,1,0,50
91,2,57.0,97.0,0,1,1.0,4.76,1,0,43
97,2,150.0,97.0,0,3,1.0,4.55,1,0,57
99,2,38.0,94.0,1,2,2.0,4.89,1,0,50
100,2,59.0,97.0,0,1,1.0,4.36,1,0,50
