,room_type,price,host_acceptance_rate,host_is_superhost,accommodates,bathrooms,review_scores_cleanliness,host_identity_verified,instant_bookable,property_type
147,3,35.0,97.0,0,4,8.0,4.75,1,0,85
152,3,40.0,97.0,0,2,8.0,4.63,1,0,85
154,3,35.0,97.0,0,12,8.0,4.69,1,0,94
155,3,35.0,97.0,0,4,8.5,4.67,1,0,85
159,3,35.0,97.0,0,4,8.0,4.71,1,0,85
160,3,35.0,97.0,0,4,8.0,4.64,1,0,85
164,3,150.0,97.0,0,6,1.0,4.8,0,0,85
178,3,35.0,97.0,0,4,8.0,4.86,1,0,86
179,3,40.0,97.0,0,2,8.0,4.73,1,0,86
181,3,35.0,97.0,0,4,8.0,4.62,1,0,85
238,3,35.0,97.0,0,4,8.0,4.82,1,0,85
242,3,35.0,97.0,0,4,8.0,4.89,1,0,85
243,3,35.0,97.0,0,4,8.0,4.74,1,0,85
437,3,40.0,97.0,0,16,8.0,4.76,1,0,85
577,3,150.0,97.0,0,1,1.5,4.8,0,0,89
794,3,24.0,97.0,1,5,3.0,4.34,1,1,85
860,3,24.0,97.0,1,4,3.0,4.48,1,1,85
870,3,52.0,97.0,0,6,8.0,4.48,1,0,86
873,3,52.0,97.0,0,6,8.0,4.62,1,0,86
940,3,150.0,97.0,0,1,1.0,5.0,0,0,89
965,3,24.0,97.0,1,6,3.0,4.57,1,0,85
994,3,24.0,97.0,1,6,3.0,4.58,1,1,85
1013,3,34.0,97.0,1,4,3.0,4.46,1,1,85
1059,3,24.0,97.0,1,6,3.0,4.26,1,1,85
1235,3,150.0,97.0,0,1,2.0,4.8,1,0,89
1267,3,42.0,50.0,0,3,2.5,4.74,1,0,85
1274,3,150.0,97.0,0,1,1.0,4.8,1,0,89
1276,3,45.0,50.0,0,3,2.5,4.72,1,0,85
1389,3,150.0,97.0,0,1,1.0,4.55,1,0,89
1393,3,99.0,97.0,0,2,1.0,4.8,1,0,85
1405,3,42.0,50.0,0,3,2.5,4.79,1,0,85
1455,3,43.0,50.0,0,3,3.5,4.78,1,0,85
1517,3,150.0,97.0,0,2,1.0,4.8,0,0,80
1537,3,150.0,97.0,0,1,2.0,3.0,1,0,89
1754,3,42.0,50.0,0,3,3.5,4.9,1,0,85
1828,3,150.0,97.0,0,1,1.0,4.8,1,0,89
1853,3,150.0,97.0,0,2,1.0,4.8,0,0,89
1972,3,150.0,97.0,0,2,1.0,4.8,1,0,89
1992,3,130.0,97.0,0,3,1.5,4.88,1,0,84
2261,3,150.0,97.0,0,1,1.0,4.8,1,0,89
2283,3,150.0,97.0,0,7,2.5,4.8,1,0,89
2314,3,150.0,97.0,0,1,1.0,4.8,1,0,89
2357,3,150.0,97.0,0,1,1.0,2.0,1,0,89
2432,3,150.0,97.0,0,1,1.0,4.8,0,0,80
2472,3,150.0,97.0,0,1,1.0,5.0,1,0,89
2504,3,150.0,97.0,0,1,1.0,4.0,1,0,89
2566,3,150.0,97.0,0,1,2.0,4.8,1,0,89
2569,3,150.0,97.0,0,2,2.0,4.8,1,0,89
2613,3,150.0,97.0,0,10,1.0,4.0,1,0,75
2619,3,150.0,97.0,0,2,2.0,5.0,1,0,89
2796,3,80.0,97.0,0,1,0.0,5.0,1,0,85
2909,3,150.0,97.0,0,3,1.0,5.0,1,0,89
2933,3,150.0,97.0,0,1,1.0,4.8,1,0,80
3012,3,150.0,97.0,0,1,2.0,4.8,0,0,89
3023,3,150.0,97.0,0,1,1.0,4.8,0,0,89
3034,3,35.0,97.0,0,4,8.0,4.83,1,0,86
3045,3,150.0,97.0,0,1,1.0,4.8,0,0,89
3110,3,150.0,97.0,0,1,1.0,4.8,0,0,89
3130,3,52.0,97.0,0,6,8.0,4.72,1,0,75
3134,3,150.0,97.0,0,3,1.0,4.8,1,0,89
3142,3,52.0,97.0,0,6,8.0,4.63,1,0,86
3172,3,150.0,97.0,0,1,1.5,5.0,1,0,89
3229,3,449.0,97.0,0,4,2.0,5.0,1,0,85
3273,3,150.0,97.0,0,2,3.0,4.8,1,0,89
3287,3,73.0,97.0,0,6,1.0,4.8,0,0,89
3310,3,150.0,97.0,0,1,1.0,4.8,1,0,89
3360,3,150.0,97.0,0,4,1.0,4.5,1,0,89
3386,3,150.0,97.0,0,4,1.5,4.8,1,0,89
3413,3,150.0,97.0,0,1,1.0,4.8,1,0,89
3498,3,150.0,97.0,0,1,0.0,5.0,0,0,89
3501,3,150.0,97.0,0,2,1.0,1.0,1,0,85
3502,3,45.0,81.0,1,1,1.0,4.91,0,0,77
3503,3,40.0,81.0,1,2,1.0,4.76,0,0,77
3504,3,35.0,81.0,1,1,1.0,4.85,0,0,85
3631,3,150.0,97.0,0,1,1.0,5.0,0,0,89
3665,3,150.0,97.0,0,6,3.0,4.5,1,0,85
3667,3,150.0,97.0,0,6,3.0,4.8,1,0,85
3669,3,150.0,97.0,0,6,2.0,4.0,1,0,85
3670,3,150.0,97.0,0,10,2.0,3.54,1,0,85
3676,3,150.0,97.0,0,2,1.0,4.8,0,0,89
3734,3,150.0,97.0,0,1,2.0,4.8,0,0,89
3750,3,150.0,97.0,0,3,2.0,4.93,1,0,85
3758,3,150.0,97.0,0,1,3.0,4.8,1,0,89
3759,3,150.0,97.0,0,1,3.0,5.0,1,0,89
3770,3,150.0,97.0,0,2,2.0,4.22,1,0,89
3822,3,150.0,97.0,0,7,1.0,4.8,1,0,89
3959,3,150.0,97.0,0,1,1.5,5.0,1,0,89
4045,3,34.0,100.0,0,1,1.0,4.44,1,0,89
4085,3,150.0,97.0,0,2,1.0,4.8,1,0,89
4111,3,150.0,97.0,0,1,1.0,4.8,0,0,85
4138,3,150.0,97.0,0,1,2.0,4.8,0,0,89
4166,3,150.0,97.0,0,1,1.0,4.8,1,0,89
4267,3,150.0,97.0,0,8,2.0,3.9,1,0,89
4280,3,150.0,97.0,0,1,1.0,5.0,0,0,89
4312,3,150.0,97.0,0,1,1.0,4.8,0,1,89
4363,3,35.0,97.0,0,1,8.0,5.0,1,0,86
4370,3,35.0,97.0,0,1,8.0,4.8,1,0,86
4380,3,35.0,97.0,0,1,8.0,4.72,1,0,86
4381,3,35.0,97.0,0,1,8.0,4.54,1,0,86
4382,3,35.0,97.0,0,1,8.0,4.8,1,0,86
4405,3,150.0,97.0,0,1,1.5,4.8,1,0,74
4436,3,150.0,97.0,0,2,1.0,4.8,1,0,89
4467,3,46.0,97.0,0,2,1.5,4.64,1,1,85
4504,3,45.0,97.0,0,1,2.0,4.33,0,0,85
4513,3,150.0,97.0,0,1,2.0,4.8,0,0,89
