,room_type,price,host_acceptance_rate,host_is_superhost,accommodates,bathrooms,review_scores_cleanliness,host_identity_verified,instant_bookable,property_type
0,0,4044.0,99.0,0,2,1.0,4.8,1,0,23
1,0,18000.0,92.0,1,14,5.5,4.7,1,0,13
2,0,2123.0,56.0,1,4,1.0,4.76,1,0,19
3,0,1236.0,94.0,1,2,1.0,4.96,1,0,19
5,0,4056.0,97.0,1,16,5.0,4.84,1,0,13
7,0,1777.0,96.0,1,2,1.5,4.74,1,0,17
8,0,4985.0,82.0,1,7,3.5,4.96,1,0,19
9,0,1150.0,99.0,1,4,1.0,4.85,1,1,19
11,0,3654.0,100.0,1,4,1.0,4.94,1,0,19
15,0,1290.0,100.0,1,4,2.0,4.71,1,0,9
17,0,1114.0,100.0,1,4,1.0,4.64,1,0,19
18,0,1114.0,100.0,1,3,1.0,4.58,1,0,17
19,0,1114.0,100.0,1,2,1.0,4.81,1,0,19
20,0,800.0,98.0,1,3,1.0,4.66,1,0,19
21,0,780.0,80.0,0,2,1.0,4.31,1,0,19
22,0,1442.0,100.0,0,3,1.0,4.86,1,0,19
23,0,1297.0,100.0,0,2,1.0,4.88,1,0,9
24,0,809.0,82.0,1,1,1.0,4.97,1,0,19
25,0,4044.0,97.0,1,14,4.5,4.89,1,0,13
26,0,1233.0,58.0,0,3,1.0,4.76,1,0,19
27,0,800.0,0.0,0,2,0.0,5.0,1,0,9
28,0,1114.0,99.0,0,2,0.0,4.8,0,0,19
30,0,768.0,100.0,0,2,1.0,4.65,1,0,11
31,0,1114.0,0.0,0,2,1.0,4.68,1,0,19
32,0,910.0,100.0,0,5,1.0,4.21,1,0,13
33,0,999.0,100.0,0,2,1.0,4.66,1,1,19
34,0,6633.0,0.0,0,4,2.5,4.91,1,0,13
36,0,11824.0,83.0,0,6,2.5,4.83,1,1,19
38,0,1300.0,79.0,0,6,2.0,4.7,1,0,9
40,0,1114.0,99.0,0,4,2.0,4.88,0,0,19
41,0,804.0,98.0,1,3,1.0,4.62,1,0,19
48,0,1130.0,79.0,0,4,1.0,4.55,1,0,19
49,0,1600.0,79.0,0,6,2.0,4.71,1,0,19
50,0,865.0,100.0,1,2,1.0,4.76,1,0,9
51,0,3438.0,56.0,0,16,5.5,4.75,1,0,13
53,0,1415.0,92.0,0,2,1.0,4.29,1,0,20
56,0,1618.0,97.0,1,4,2.0,4.91,1,0,19
59,0,1114.0,100.0,1,2,1.0,4.85,1,0,9
60,0,1517.0,50.0,0,4,1.0,4.5,1,0,19
64,0,1072.0,100.0,0,4,1.0,4.85,1,0,9
65,0,1391.0,99.0,0,6,1.0,4.41,1,0,17
66,0,900.0,0.0,0,2,1.0,4.51,1,0,19
67,0,850.0,0.0,0,2,1.0,4.72,1,0,19
68,0,971.0,0.0,0,4,1.0,4.56,1,0,19
69,0,910.0,100.0,0,4,1.0,4.71,1,0,19
71,0,1719.0,95.0,1,2,1.5,4.94,1,0,19
73,0,988.0,97.0,0,2,1.0,4.69,1,0,19
74,0,1040.0,99.0,0,2,1.0,4.88,1,0,19
75,0,3842.0,0.0,0,6,2.0,4.84,1,0,19
78,0,1213.0,92.0,0,2,1.0,4.92,1,1,20
80,0,3438.0,56.0,0,16,5.5,4.8,1,0,13
81,0,1824.0,83.0,1,2,1.0,4.95,1,0,19
82,0,993.0,100.0,1,4,1.0,4.72,1,1,20
85,0,1114.0,99.0,0,3,1.0,4.74,1,0,19
86,0,2022.0,63.0,0,4,2.0,4.84,1,0,19
87,0,1500.0,100.0,0,4,2.5,5.0,1,1,19
88,0,1684.0,100.0,1,3,1.0,4.92,1,0,81
89,0,1949.0,89.0,1,6,2.5,4.95,1,0,13
90,0,7583.0,80.0,0,6,4.5,5.0,1,0,13
95,0,4954.0,94.0,1,6,3.5,5.0,1,0,13
98,0,850.0,100.0,1,2,1.0,4.98,1,0,9
99,0,1114.0,50.0,0,4,1.0,4.89,0,0,19
100,0,1114.0,50.0,0,3,1.0,5.0,0,0,17
101,0,1114.0,50.0,0,3,1.0,4.95,0,0,17
102,0,800.0,99.0,0,2,1.0,4.89,1,0,11
103,0,2990.0,61.0,1,2,2.0,4.74,1,0,17
104,0,1491.0,99.0,1,3,1.0,4.95,1,0,19
106,0,900.0,0.0,0,3,1.0,4.39,1,0,19
108,0,1439.0,98.0,0,4,1.0,4.89,1,1,19
109,0,1228.0,75.0,1,2,1.0,4.65,1,0,19
110,0,3620.0,100.0,1,2,1.5,4.91,1,0,19
113,0,1114.0,99.0,0,2,1.0,4.17,1,0,19
114,0,465.0,100.0,0,2,1.0,4.68,1,1,17
115,0,1500.0,96.0,1,2,1.0,4.85,1,0,19
116,0,850.0,99.0,0,2,1.0,4.67,1,0,11
117,0,748.0,99.0,0,2,1.0,4.78,1,0,17
118,0,2019.0,98.0,1,6,3.0,4.89,1,0,19
120,0,3438.0,56.0,0,16,5.5,4.75,1,0,13
121,0,1087.0,79.0,1,2,1.0,4.88,1,0,17
122,0,1530.0,100.0,0,2,1.0,4.95,1,0,19
123,0,10000.0,95.0,1,2,1.5,4.96,1,0,9
124,0,1103.0,100.0,1,2,2.0,4.84,1,0,17
128,0,950.0,100.0,1,4,1.0,4.51,1,0,20
129,0,6714.0,91.0,1,6,2.5,4.4,1,0,13
130,0,1743.0,100.0,1,2,1.0,4.92,1,0,17
132,0,1050.0,90.0,1,4,1.0,4.57,1,0,19
133,0,1100.0,79.0,1,5,2.0,4.94,1,0,19
134,0,1485.0,99.0,1,2,1.0,4.9,1,0,19
136,0,1530.0,99.0,1,3,1.0,4.91,1,0,19
137,0,1375.0,98.0,0,3,1.0,4.94,1,1,9
139,0,2083.0,99.0,0,2,1.0,4.93,1,0,17
142,0,2528.0,59.0,0,2,1.0,5.0,1,0,19
143,0,1965.0,100.0,1,5,1.5,4.84,1,0,17
147,0,1193.0,100.0,0,6,2.0,4.63,1,0,19
148,0,1600.0,50.0,0,2,1.0,4.88,1,0,19
149,0,1000.0,50.0,0,4,2.0,4.91,1,0,19
150,0,2770.0,98.0,1,4,2.0,4.79,1,1,19
151,0,1114.0,99.0,0,4,2.0,5.0,1,0,19
152,0,1459.0,98.0,0,4,1.0,4.9,1,1,19
155,0,1734.0,99.0,0,4,1.0,4.88,1,1,19
157,0,864.0,100.0,1,3,1.0,4.76,1,0,19
158,0,2002.0,99.0,0,4,1.0,4.83,1,1,19
159,0,1011.0,100.0,0,2,2.0,4.74,1,0,9
160,0,1213.0,59.0,0,1,1.0,4.78,1,0,17
162,0,2692.0,97.0,1,3,1.0,4.81,1,0,17
165,0,670.0,93.0,1,1,1.0,5.0,1,0,12
169,0,829.0,91.0,0,2,1.0,4.82,1,0,9
170,0,503.0,100.0,0,2,1.0,4.71,1,0,11
171,0,1200.0,94.0,0,2,1.0,4.74,1,0,17
175,0,3134.0,100.0,1,2,1.0,4.95,1,1,19
176,0,3175.0,83.0,1,4,2.0,4.93,1,1,19
178,0,1114.0,99.0,0,2,1.5,4.81,1,0,12
179,0,2832.0,98.0,1,4,2.0,4.95,1,0,20
181,0,850.0,100.0,0,2,1.0,4.94,1,0,19
183,0,1871.0,100.0,1,4,1.0,4.93,1,1,17
186,0,2516.0,100.0,1,5,1.0,4.9,1,0,19
189,0,780.0,100.0,1,1,1.0,4.93,1,0,9
190,0,1114.0,99.0,0,4,1.0,4.77,1,0,19
192,0,1686.0,96.0,1,8,1.0,4.76,1,0,20
195,0,420.0,100.0,1,1,1.0,4.89,1,0,11
196,0,2710.0,91.0,0,8,2.5,4.97,1,1,9
198,0,2650.0,74.0,0,5,2.0,4.82,1,1,19
200,0,1334.0,100.0,0,3,1.0,4.62,1,0,9
201,0,2299.0,100.0,0,3,1.0,5.0,1,1,20
202,0,891.0,97.0,0,2,1.0,4.81,1,0,9
203,0,1415.0,99.0,0,4,1.0,4.83,1,0,19
204,0,991.0,98.0,0,2,1.0,4.86,1,1,19
206,0,752.0,100.0,1,2,1.0,4.94,1,0,9
211,0,2551.0,100.0,1,4,1.0,4.84,1,0,9
212,0,900.0,100.0,1,3,1.0,4.81,1,1,19
213,0,1557.0,98.0,1,2,1.0,4.88,1,0,19
217,0,1114.0,99.0,0,2,2.0,5.0,1,0,19
218,0,2224.0,98.0,0,4,1.0,4.77,1,0,17
219,0,1460.0,100.0,1,6,2.0,4.78,1,0,9
220,0,1990.0,98.0,0,6,2.0,4.8,1,1,19
222,0,2022.0,97.0,0,2,1.0,4.66,1,1,20
224,0,1114.0,99.0,0,4,1.0,4.67,1,0,20
225,0,807.0,96.0,1,2,1.0,4.79,1,0,6
226,0,1011.0,0.0,0,4,1.0,4.85,1,0,19
227,0,823.0,100.0,0,2,1.0,4.83,1,0,9
229,0,2598.0,100.0,1,8,3.0,4.9,1,1,20
230,0,1656.0,97.0,1,4,2.0,4.82,1,1,19
231,0,1850.0,60.0,0,4,2.0,5.0,1,0,19
232,0,4659.0,100.0,1,7,2.0,4.94,1,0,9
234,0,754.0,91.0,0,2,1.0,4.84,1,0,9
235,0,1099.0,67.0,0,1,1.0,4.0,1,0,19
237,0,64584.0,97.0,0,2,1.0,4.68,1,1,19
238,0,1395.0,97.0,0,2,1.0,4.78,1,1,19
239,0,1650.0,97.0,0,4,2.0,4.59,1,1,19
240,0,1114.0,97.0,0,7,2.0,4.85,1,1,19
241,0,1072.0,99.0,0,2,1.0,5.0,1,0,2
242,0,1430.0,100.0,1,3,1.5,4.97,1,1,19
243,0,1139.0,97.0,0,2,1.0,4.83,1,1,19
244,0,1748.0,97.0,0,5,2.0,4.76,1,1,19
245,0,902.0,99.0,0,2,1.0,4.93,1,0,19
246,0,1080.0,100.0,1,4,1.0,4.93,1,0,19
248,0,1114.0,99.0,0,3,1.0,4.8,1,0,19
249,0,2831.0,62.0,1,2,1.0,4.91,1,0,19
250,0,1190.0,100.0,1,3,1.0,4.97,1,0,19
254,0,2912.0,100.0,0,4,1.0,4.85,1,0,19
255,0,1894.0,98.0,1,4,1.0,4.54,1,1,19
256,0,2580.0,100.0,1,4,2.0,4.94,1,0,9
257,0,1463.0,100.0,1,5,2.0,4.82,1,0,9
259,0,2513.0,98.0,0,5,2.0,4.86,1,1,19
260,0,1114.0,89.0,0,2,2.0,4.33,1,0,9
262,0,990.0,100.0,1,1,1.0,4.94,1,0,9
266,0,1114.0,99.0,0,6,1.0,4.8,1,0,19
