,room_type,price,host_acceptance_rate,host_is_superhost,accommodates,bathrooms,review_scores_cleanliness,host_identity_verified,instant_bookable,property_type
14,1,3328.0,92.0,1,3,1.0,5.0,1,1,67
29,1,1114.0,92.0,1,3,0.0,5.0,1,1,67
52,1,1114.0,92.0,0,2,5.5,4.84,1,1,67
76,1,1114.0,92.0,0,2,2.0,4.94,1,1,67
77,1,1213.0,92.0,0,2,1.0,4.88,1,1,67
79,1,1114.0,92.0,0,2,1.0,4.97,1,1,67
135,1,2800.0,91.0,1,2,1.0,5.0,1,0,63
146,1,1114.0,91.0,1,2,1.0,4.97,1,0,63
423,1,10616.0,33.0,0,16,46.0,4.33,1,1,62
641,1,1435.0,97.0,0,2,1.0,4.93,1,1,67
899,1,11194.0,33.0,0,16,10.0,4.8,1,1,62
901,1,9533.0,33.0,0,16,20.0,5.0,1,0,67
910,1,6875.0,98.0,1,4,2.0,4.88,1,1,67
1181,1,526.0,100.0,1,2,1.0,4.91,1,0,67
1692,1,1114.0,87.0,0,6,3.0,4.65,1,1,63
1695,1,899.0,100.0,0,1,1.0,4.66,1,1,61
1868,1,1114.0,33.0,0,16,1.0,4.8,1,1,67
2758,1,1114.0,99.0,0,4,2.0,5.0,1,1,67
3081,1,1990.0,97.0,0,2,1.0,4.8,1,1,61
3103,1,1990.0,97.0,0,2,1.0,4.92,1,0,67
3105,1,1114.0,100.0,0,2,1.0,5.0,1,0,67
3106,1,1990.0,99.0,1,2,1.0,4.57,1,1,67
3114,1,1114.0,97.0,0,2,1.5,4.65,1,0,67
3667,1,1114.0,100.0,1,2,1.5,4.82,1,0,67
3829,1,1999.0,87.0,0,6,2.0,3.8,1,1,63
4149,1,1820.0,100.0,0,2,1.0,4.93,1,0,67
4383,1,1114.0,100.0,1,2,1.0,4.89,1,0,67
4398,1,779.0,97.0,1,6,1.0,4.5,1,1,66
4400,1,633.0,97.0,1,4,1.0,4.75,1,1,66
4410,1,1400.0,97.0,1,5,1.0,4.44,1,1,66
4411,1,824.0,97.0,1,6,1.0,4.7,1,1,66
4412,1,656.0,97.0,1,4,1.0,4.58,1,1,66
4413,1,639.0,97.0,1,3,1.0,4.33,1,1,66
4414,1,1114.0,97.0,1,2,1.0,3.67,1,1,66
4415,1,550.0,97.0,1,2,1.0,4.7,1,1,66
4416,1,629.0,97.0,1,3,1.0,5.0,1,1,66
4417,1,1114.0,97.0,1,2,1.0,5.0,1,1,66
4431,1,634.0,97.0,1,4,1.0,5.0,1,1,66
4432,1,579.0,97.0,1,2,1.0,4.42,1,1,66
4508,1,550.0,96.0,0,1,1.0,4.54,1,0,62
4601,1,3050.0,100.0,1,4,1.0,5.0,1,1,63
4700,1,5843.0,100.0,0,2,1.0,5.0,1,1,63
4748,1,1994.0,97.0,0,2,1.0,5.0,1,0,67
4948,1,1114.0,67.0,0,4,1.5,4.8,1,0,67
4958,1,8088.0,100.0,1,2,1.5,4.8,1,0,63
4998,1,1114.0,86.0,0,2,1.0,5.0,1,1,67
4999,1,890.0,86.0,0,2,1.0,5.0,1,1,67
5000,1,1114.0,86.0,0,2,1.0,5.0,1,0,67
5083,1,1099.0,87.0,0,2,1.0,5.0,1,0,63
5115,1,1114.0,99.0,0,1,1.0,4.8,0,0,64
5116,1,1114.0,67.0,0,2,1.0,5.0,1,1,62
5198,1,1114.0,92.0,1,3,1.0,5.0,1,1,67
5233,1,1114.0,86.0,0,2,2.0,5.0,1,0,67
5312,1,1114.0,67.0,0,2,1.0,5.0,1,1,62
5314,1,1114.0,67.0,0,2,1.5,4.95,1,1,62
5315,1,1114.0,67.0,0,2,1.5,4.93,1,1,62
5316,1,1114.0,67.0,0,2,1.5,5.0,1,1,62
5317,1,1114.0,67.0,0,2,1.5,4.9,1,1,62
5396,1,1300.0,40.0,0,2,1.0,4.8,1,1,62
5397,1,1352.0,40.0,0,3,1.0,4.8,1,1,62
5414,1,415.0,100.0,1,1,1.0,4.68,1,1,64
5421,1,1456.0,40.0,0,3,1.0,5.0,1,1,62
5434,1,1300.0,40.0,0,2,1.0,5.0,1,1,62
5440,1,5167.0,100.0,0,2,1.0,5.0,1,1,63
5441,1,5167.0,100.0,0,2,1.0,5.0,1,1,63
5451,1,1114.0,0.0,0,4,2.0,5.0,1,0,67
5508,1,5167.0,100.0,0,2,1.0,4.8,1,1,63
5509,1,6132.0,100.0,0,2,1.0,5.0,1,1,63
5519,1,6132.0,100.0,0,2,1.0,5.0,1,1,63
5559,1,1745.0,99.0,0,2,1.0,4.8,1,0,63
5696,1,1114.0,100.0,0,2,1.5,4.4,1,1,62
5819,1,415.0,100.0,1,1,1.0,4.63,1,1,64
5848,1,1114.0,100.0,1,2,1.0,5.0,1,1,63
8575,1,1114.0,99.0,0,1,1.5,4.25,1,1,65
14396,1,1833.0,100.0,0,3,1.0,4.8,1,1,66
21254,1,1114.0,99.0,0,2,1.0,4.8,0,1,66
21267,1,1114.0,99.0,0,6,1.0,4.8,0,1,66
21268,1,1114.0,99.0,0,6,1.0,4.8,0,1,66
21269,1,1114.0,99.0,0,6,1.0,4.8,0,1,66
21270,1,1114.0,99.0,0,6,1.0,4.8,0,1,66
21271,1,1114.0,99.0,0,2,1.0,4.8,0,1,66
21272,1,1114.0,99.0,0,2,1.0,4.8,0,1,66
21273,1,1114.0,99.0,0,2,1.0,4.8,0,1,66
21274,1,1114.0,99.0,0,2,1.0,4.8,0,1,66
21275,1,1114.0,99.0,0,4,1.0,4.8,0,1,66
21285,1,1114.0,99.0,0,4,2.0,4.8,0,1,66
21286,1,1114.0,99.0,0,4,2.0,4.8,0,1,66
21287,1,1114.0,99.0,0,4,2.0,4.8,0,1,66
21288,1,1114.0,99.0,0,4,2.0,4.8,0,1,66
21289,1,1114.0,99.0,0,6,2.0,4.8,0,1,66
21520,1,1114.0,100.0,0,2,2.0,4.8,1,1,63
21522,1,1114.0,100.0,0,4,1.0,4.8,1,1,63
21523,1,1114.0,100.0,0,8,1.0,4.8,1,1,63
21524,1,1114.0,100.0,0,12,1.0,4.8,1,1,63
21534,1,1114.0,100.0,0,16,1.0,4.8,1,1,63
21535,1,1114.0,100.0,0,2,1.0,4.8,1,1,63
21536,1,1114.0,100.0,0,3,1.0,4.8,1,1,63
21537,1,1114.0,100.0,0,2,1.0,4.8,1,1,63
21538,1,1114.0,100.0,0,3,1.0,4.8,1,1,63
21539,1,1114.0,100.0,0,3,1.0,4.8,1,1,63
23029,1,1833.0,99.0,0,3,1.0,4.8,0,1,66
23030,1,1833.0,99.0,0,3,1.0,4.8,0,1,66
23031,1,1833.0,99.0,0,3,1.0,4.8,0,1,66
23032,1,1833.0,99.0,0,3,1.0,4.8,0,1,66
23037,1,1835.0,100.0,0,3,1.0,4.8,0,1,66
23038,1,1961.0,100.0,0,3,1.0,4.0,0,1,66
23039,1,3175.0,100.0,0,6,2.0,5.0,0,1,66
23040,1,1114.0,100.0,0,6,2.0,4.8,0,1,66
23041,1,3175.0,100.0,0,6,2.0,5.0,0,1,66
23042,1,4527.0,100.0,0,9,3.0,4.8,0,1,66
23043,1,4802.0,99.0,0,9,3.0,4.8,0,1,66
23044,1,4802.0,99.0,0,9,3.0,4.8,0,1,66
23045,1,5935.0,99.0,0,12,4.0,4.8,0,1,66
23046,1,5935.0,99.0,0,12,4.0,4.8,0,1,66
23047,1,5935.0,99.0,0,12,4.0,4.8,0,1,66
23048,1,1833.0,99.0,0,2,1.0,4.8,0,1,66
23049,1,1833.0,99.0,0,2,1.0,4.8,0,1,66
