,room_type,price,host_acceptance_rate,host_is_superhost,accommodates,bathrooms,review_scores_cleanliness,host_identity_verified,instant_bookable,property_type
4,2,1114.0,99.0,0,2,1.0,4.8,0,0,27
6,2,340.0,75.0,1,2,1.0,4.61,1,0,51
10,2,550.0,100.0,0,2,1.0,4.6,1,0,40
12,2,1007.0,100.0,0,2,1.0,4.66,1,0,51
13,2,310.0,99.0,0,1,1.0,4.79,1,0,51
16,2,404.0,99.0,0,2,1.0,4.83,1,0,51
35,2,1114.0,99.0,0,2,2.5,4.8,0,0,34
37,2,358.0,25.0,0,1,1.0,5.0,1,0,34
39,2,1114.0,99.0,0,1,2.0,4.8,0,0,51
42,2,1114.0,99.0,0,1,1.0,4.85,0,0,34
43,2,506.0,100.0,1,2,1.5,4.83,1,0,58
44,2,790.0,97.0,0,2,1.0,4.81,1,0,34
45,2,1114.0,75.0,0,2,1.0,4.76,1,1,42
46,2,1300.0,99.0,0,2,1.0,4.8,1,0,42
47,2,1114.0,99.0,0,1,1.0,4.8,0,0,51
54,2,809.0,99.0,0,2,1.5,4.2,1,0,51
55,2,1011.0,0.0,0,1,1.5,5.0,1,0,42
57,2,15000.0,40.0,0,14,6.0,4.74,1,0,29
58,2,316.0,29.0,1,1,1.0,4.9,1,0,34
61,2,667.0,0.0,0,2,1.5,4.94,1,0,51
62,2,500.0,75.0,0,4,2.5,4.92,1,0,42
63,2,607.0,0.0,0,2,1.0,4.7,1,0,51
70,2,1114.0,56.0,0,2,1.0,4.72,1,0,42
72,2,443.0,0.0,0,1,1.5,5.0,1,0,42
83,2,1143.0,70.0,0,1,1.0,4.8,1,0,51
84,2,513.0,100.0,0,2,1.0,5.0,1,0,42
91,2,410.0,100.0,1,1,1.5,4.92,1,0,42
92,2,991.0,99.0,0,1,1.0,4.97,0,0,34
93,2,1200.0,67.0,0,2,1.0,4.97,1,1,40
94,2,526.0,80.0,1,1,1.0,4.78,1,0,51
96,2,708.0,100.0,1,2,1.5,4.62,1,0,42
97,2,924.0,97.0,1,6,2.0,4.94,1,0,42
105,2,425.0,0.0,0,2,1.0,5.0,1,0,51
107,2,1114.0,94.0,1,2,1.0,4.89,1,0,42
111,2,1114.0,96.0,0,2,1.5,5.0,1,0,42
112,2,425.0,0.0,0,2,1.0,5.0,1,0,51
119,2,602.0,100.0,0,2,2.0,5.0,1,0,51
125,2,1114.0,100.0,0,2,2.0,4.96,0,0,53
126,2,1114.0,99.0,0,2,2.0,5.0,1,0,34
127,2,1921.0,100.0,0,2,1.5,4.96,1,0,58
131,2,500.0,100.0,1,2,2.0,5.0,1,1,29
138,2,1114.0,99.0,0,1,1.0,4.8,0,0,51
140,2,2200.0,91.0,1,2,1.0,4.94,1,0,29
141,2,769.0,64.0,1,2,1.0,4.87,1,0,51
144,2,450.0,65.0,0,1,1.0,4.33,1,0,51
145,2,1114.0,100.0,0,2,1.0,5.0,1,0,51
153,2,450.0,42.0,0,2,1.0,4.93,1,0,51
154,2,430.0,65.0,0,1,1.0,4.73,1,0,51
156,2,450.0,100.0,0,2,1.0,4.91,1,0,51
161,2,350.0,42.0,0,2,1.0,4.74,1,0,51
163,2,1114.0,99.0,0,1,1.0,5.0,0,0,42
164,2,2000.0,91.0,1,2,1.0,4.85,1,0,63
166,2,1114.0,99.0,0,2,1.0,4.8,0,0,51
167,2,600.0,0.0,0,1,2.0,5.0,1,0,42
