,room_type,price,host_acceptance_rate,host_is_superhost,accommodates,bathrooms,review_scores_cleanliness,host_identity_verified,instant_bookable,property_type
354,3,303.0,100.0,0,2,2.0,4.7,1,0,70
2115,3,2123.0,100.0,0,2,1.0,5.0,1,0,76
3163,3,413.0,67.0,0,1,1.0,4.88,1,0,76
4035,3,413.0,67.0,0,1,1.0,4.64,1,0,76
4270,3,574.0,50.0,0,2,1.0,5.0,1,0,70
4740,3,3000.0,99.0,0,6,1.0,4.8,1,0,76
4754,3,345.0,99.0,0,1,1.5,4.34,1,1,74
5004,3,708.0,91.0,0,2,1.5,4.77,1,1,73
5352,3,318.0,99.0,0,1,1.0,4.83,1,1,74
5929,3,1114.0,99.0,0,2,1.0,4.8,0,0,73
7221,3,514.0,99.0,0,1,1.0,4.9,1,1,75
7375,3,1900.0,100.0,0,10,0.0,4.93,1,1,74
7444,3,171.0,38.0,0,1,3.0,4.75,1,0,73
7464,3,7500.0,99.0,0,1,1.0,4.8,1,1,76
7477,3,303.0,100.0,0,1,4.0,5.0,1,1,74
7478,3,314.0,100.0,0,1,4.0,4.54,1,1,74
7931,3,171.0,38.0,0,1,3.0,5.0,1,0,73
8346,3,333.0,100.0,0,1,4.0,4.62,1,1,74
8395,3,171.0,38.0,0,1,2.5,5.0,1,0,73
8927,3,6000.0,0.0,0,1,1.0,4.8,1,1,77
9967,3,1643.0,60.0,0,6,1.0,4.6,1,0,70
10534,3,257.0,100.0,0,9,3.0,4.33,1,1,74
10946,3,179.0,99.0,0,1,1.0,4.56,1,1,74
11016,3,250.0,87.0,0,1,1.5,4.83,1,1,78
11509,3,250.0,87.0,0,1,1.5,4.82,1,1,78
11510,3,250.0,87.0,0,1,1.5,4.83,1,1,78
11714,3,552.0,94.0,0,1,4.0,4.86,1,1,74
12543,3,562.0,99.0,0,1,2.5,4.83,1,1,68
12588,3,590.0,99.0,0,1,2.5,4.78,1,1,68
12592,3,775.0,99.0,0,2,2.5,4.95,1,1,68
12596,3,590.0,99.0,0,1,2.5,4.9,1,1,68
12598,3,562.0,99.0,0,1,2.5,4.9,1,1,68
12611,3,742.0,99.0,0,2,2.5,4.92,1,1,68
12622,3,775.0,99.0,0,2,2.5,4.89,1,1,68
13105,3,133.0,98.0,0,4,2.5,4.27,1,1,73
13161,3,313.0,100.0,1,1,1.0,4.9,1,0,74
13231,3,243.0,100.0,1,1,1.0,4.78,1,0,74
13261,3,313.0,100.0,1,1,1.0,4.88,1,0,74
13366,3,313.0,100.0,1,1,1.0,4.92,1,0,74
13375,3,313.0,100.0,1,1,1.0,4.9,1,0,74
13833,3,700.0,100.0,1,1,2.0,4.67,1,0,73
13953,3,814.0,67.0,0,1,1.0,4.8,1,1,76
13962,3,750.0,67.0,0,1,1.0,3.5,1,1,76
14300,3,800.0,100.0,0,4,1.0,4.83,1,1,71
15242,3,136.0,98.0,0,5,2.5,4.03,1,1,73
15565,3,400.0,100.0,0,6,2.0,4.5,1,1,74
16178,3,313.0,100.0,1,1,1.0,4.89,1,1,74
17232,3,300.0,78.0,0,1,1.0,4.75,1,1,73
17509,3,552.0,94.0,0,1,1.0,4.76,1,1,72
17801,3,321.0,98.0,0,1,1.0,5.0,0,1,74
17802,3,290.0,98.0,0,1,2.0,4.5,0,1,74
17803,3,290.0,98.0,0,1,1.0,5.0,0,1,74
17804,3,290.0,98.0,0,1,1.0,5.0,0,1,74
17806,3,290.0,98.0,0,1,1.0,4.8,0,1,74
17808,3,290.0,98.0,0,1,1.0,5.0,0,1,74
17839,3,313.0,100.0,1,1,1.0,4.91,1,1,74
17952,3,220.0,100.0,1,1,2.0,5.0,1,1,72
18086,3,243.0,100.0,1,1,1.0,4.88,1,1,74
18143,3,313.0,100.0,1,1,1.0,4.96,1,1,74
18154,3,386.0,98.0,0,1,1.0,4.75,0,1,74
18155,3,290.0,98.0,0,1,1.0,4.6,0,1,74
18156,3,476.0,98.0,0,1,1.0,5.0,0,1,74
18163,3,313.0,100.0,1,1,1.0,4.97,1,1,74
18228,3,290.0,98.0,0,1,1.0,4.86,0,1,74
18975,3,249.0,98.0,1,1,1.0,4.95,1,0,76
19763,3,250.0,100.0,1,1,2.0,4.55,1,1,69
19828,3,200.0,100.0,1,1,1.0,5.0,1,1,72
19936,3,250.0,100.0,1,1,2.0,4.5,1,1,72
19938,3,200.0,100.0,1,1,2.0,4.83,1,1,72
19939,3,220.0,100.0,1,1,2.0,4.57,1,1,72
20008,3,309.0,67.0,1,1,1.0,4.86,1,0,76
20018,3,133.0,98.0,0,2,2.5,4.8,1,1,73
20393,3,193.0,92.0,0,6,2.0,4.88,1,0,72
20395,3,189.0,92.0,0,9,2.0,5.0,1,0,73
21143,3,310.0,93.0,1,8,1.0,4.67,1,1,73
21318,3,120.0,98.0,0,2,2.5,4.5,1,1,73
21469,3,474.0,94.0,0,1,4.0,4.78,1,1,73
